,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
63,1977,October 16,5,Los Angeles Rams,New Orleans Saints,Chuck Knox,Hank Stram,3-2,1-4,outdoors,grass,Archie Manning,Pat Haden,12,24,23-77-0,61-243-2,15-34-155-1-0,9-16-180-0-1,0-0,3-15,155,165,232,408,0-0,3-2,0,3,5-76,7-55,,
64,1977,October 16,5,Seattle Seahawks,Tampa Bay Buccaneers,Jack Patera,John McKay,1-4,0-5,dome,astroturf,Gary Huff,Steve Myer,22,21,34-167-1,35-134-0,18-32-217-1-4,20-30-252-4-2,0-0,1-11,217,241,384,375,2-2,3-0,6,2,6-51,4-30,,
65,1977,October 16,5,Oakland Raiders,Denver Broncos,John Madden,Red Miller,4-1,5-0,outdoors,grass,Craig Morton,Ken Stabler,8,21,37-102-1,30-87-0,8-17-118-2-0,22-42-290-1-7,4-20,5-51,98,239,200,326,0-0,4-1,0,8,4-40,3-20,,
66,1977,October 16,5,San Diego Chargers,New England Patriots,Tommy Prothro,Chuck Fairbanks,3-2,3-2,outdoors,grass,Steve Grogan,James Harris,22,16,51-256-1,19-53-2,12-22-83-2-1,18-26-249-1-1,1-14,2-19,69,230,325,283,1-0,2-1,1,2,9-101,6-53,,
67,1977,October 16,5,Miami Dolphins,New York Jets,Don Shula,Walt Michaels,4-1,2-3,outdoors,grass,Richard Todd,Bob Griese,14,23,25-123-2,42-212-1,16-26-203-0-0,17-24-132-2-0,1-12,1-4,191,128,314,340,2-2,2-2,2,2,7-52,2-20,,
68,1977,October 16,5,Dallas Cowboys,Washington Redskins,Tom Landry,George Allen,5-0,3-2,outdoors,astroturf,Billy Kilmer,Roger Staubach,12,23,32-115-0,50-171-2,7-25-64-1-1,16-29-284-2-0,8-63,2-20,1,264,116,435,1-1,4-3,2,3,5-38,4-25,,
69,1977,October 17,5,Pittsburgh Steelers,Cincinnati Bengals,Chuck Noll,Bill Johnson,3-2,2-3,outdoors,astroturf,John Reaves,Terry Bradshaw,20,18,35-103-1,50-166-3,15-36-227-0-4,6-9-117-0-0,3-19,3-30,208,87,311,253,4-1,6-3,5,3,8-93,9-64,,
70,1977,October 23,6,Cincinnati Bengals,Denver Broncos,Bill Johnson,Red Miller,2-4,6-0,outdoors,astroturf,Craig Morton,Ken Anderson,16,14,42-180-2,31-177-1,9-15-155-1-0,15-28-159-0-1,0-0,0-0,155,159,335,336,1-0,4-2,0,3,6-38,3-20,,
71,1977,October 23,6,Philadelphia Eagles,Dallas Cowboys,Dick Vermeil,Tom Landry,2-4,6-0,outdoors,astroturf,Roger Staubach,Ron Jaworski,17,15,41-149-1,32-114-0,15-26-172-0-0,10-23-104-1-2,6-33,4-32,139,72,288,186,0-0,1-1,0,3,7-50,2-17,,
72,1977,October 23,6,Buffalo Bills,Cleveland Browns,Jim Ringo,Forrest Gregg,1-5,4-2,outdoors,astroturf,Brian Sipe,Joe Ferguson,26,20,48-219-0,25-162-0,15-24-149-3-2,11-29-199-1-2,3-22,2-14,127,185,346,347,0-0,2-2,2,4,7-59,12-139,,
